iter	Passed	Remaining
0	0	57
1	1	52
2	1	49
3	1	45
4	2	43
5	2	43
6	3	42
7	3	41
8	4	42
9	4	41
10	5	40
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	38
20	10	38
21	10	37
22	11	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	22	23
48	22	23
49	23	23
50	23	22
51	23	22
52	24	21
53	24	21
54	25	20
55	25	20
56	25	19
57	26	19
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	30	15
66	30	15
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	10
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	40	5
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	44	1
97	44	0
98	45	0
99	45	0
